index,sensor1,sensor2
0,57,277
1,934,507
2,929,507
3,1019,507
4,987,507
5,991,508
6,967,507
7,997,517
8,1000,507
9,885,499
10,964,507
11,1023,506
12,1012,506
13,982,506
14,952,505
15,992,504
16,963,505
17,1023,489
18,1023,504
19,972,538
20,926,503
21,902,504
22,992,503
23,1005,447
24,989,503
25,1023,504
26,961,505
27,963,504
28,994,504
29,961,503
30,1023,503
31,957,504
32,1018,503
33,987,504
34,932,504
35,1023,504
36,966,502
37,989,504
38,909,503
39,940,505
40,921,504
41,957,503
42,955,505
43,1023,506
index,sensor1,sensor2
0,54,280
1,979,484
2,995,509
3,980,508
4,1005,508
5,964,508
6,970,505
7,900,504
8,1015,532
9,973,527
10,1023,502
11,1023,501
12,994,500
index,sensor1,sensor2
0,13,281
1,19,525
2,6,510
3,30,508
4,19,507
5,7,507
6,0,508
7,13,508
8,18,508
9,5,515
10,24,573
11,24,508
12,9,508
13,18,508
14,14,468
15,19,507
16,6,584
17,5,509
18,15,508
19,5,509
20,15,531
21,29,511
22,0,508
23,10,509
24,16,474
25,5,509
26,26,508
27,17,509
28,3,509
29,4,504
30,9,509
31,26,502
32,45,510
33,18,510
34,0,510
index,sensor1,sensor2
0,6,298
1,6,550
2,3,513
3,5,515
4,4,515
5,6,516
6,3,515
7,5,513
8,37,514
9,45,514
10,6,522
11,3,518
12,14,512
13,3,503
index,sensor1,sensor2
0,37,347
1,30,515
2,40,516
3,64,514
4,69,514
5,47,514
6,45,514
7,52,514
index,sensor1,sensor2
0,48,281
1,86,513
2,49,512
3,43,510
4,85,513
5,52,513
6,55,464
7,75,512
8,58,513
9,45,514
10,56,510
11,88,512
12,46,513
13,72,513
14,65,583
15,47,513
16,59,513
17,67,514
18,87,515
19,47,511
20,70,514
21,40,515
22,81,515
23,51,493
24,83,509
25,50,515
26,34,477
index,sensor1,sensor2
0,40,285
1,38,517
2,28,516
3,72,518
4,46,518
5,67,520
index,sensor1,sensor2
0,839,285
1,969,521
index,sensor1,sensor2
0,1016,299
1,1022,521
index,sensor1,sensor2
0,1015,292
index,sensor1,sensor2
0,991,239
index,sensor1,sensor2
0,857,288
index,sensor1,sensor2
0,876,288
index,sensor1,sensor2
0,188,288
index,sensor1,sensor2
0,4,288
index,sensor1,sensor2
0,484,323
index,sensor1,sensor2
0,485,287
index,sensor1,sensor2
0,482,317
index,sensor1,sensor2
0,484,260
index,sensor1,sensor2
0,479,284
index,sensor1,sensor2
0,474,284
index,sensor1,sensor2
0,487,287
1,898,522
2,898,522
3,893,490
4,891,522
5,885,521
6,887,578
7,883,564
8,868,519
9,873,519
10,884,519
11,875,518
12,869,519
13,866,512
14,879,519
15,867,521
16,874,520
17,867,518
18,869,519
19,865,519
20,869,517
21,881,520
22,872,524
23,865,489
24,862,521
25,872,519
26,866,521
27,882,520
28,878,520
29,870,503
30,885,521
31,880,520
32,867,521
33,885,521
34,894,520
35,914,522
index,sensor1,sensor2
0,489,333
1,922,520
2,959,518
3,936,517
4,930,518
5,930,519
6,930,521
index,sensor1,sensor2
0,486,274
1,935,525
2,934,525
3,922,527
4,924,527
5,960,526
6,936,525
7,926,525
8,920,550
9,928,515
10,923,523
11,916,523
12,922,523
13,931,522
14,930,522
15,923,521
16,926,521
17,934,522
18,930,522
19,934,522
20,938,523
21,927,521
22,962,522
23,942,523
24,933,523
25,941,523
26,944,471
27,942,523
28,929,523
29,933,525
30,933,524
31,949,524
32,942,524
33,940,525
34,933,525
35,932,596
36,941,524
37,958,525
38,946,526
39,942,526
40,944,526
41,940,525
42,937,527
43,942,528
44,934,527
45,941,527
46,938,527
47,936,528
48,934,532
49,937,531
50,946,531
51,934,520
52,941,532
53,938,527
54,935,530
55,938,500
56,948,529
57,985,529
58,938,543
59,943,530
60,933,529
61,948,529
62,954,529
63,928,529
64,941,528
65,940,529
66,934,529
67,940,528
68,937,529
69,937,529
70,948,485
71,948,529
72,945,529
73,942,524
74,951,529
75,941,529
76,955,529
77,963,530
78,934,529
79,939,530
80,941,530
81,932,531
82,931,579
83,939,531
84,937,531
85,942,559
86,932,530
index,sensor1,sensor2
0,480,283
1,945,531
index,sensor1,sensor2
0,493,288
1,935,532
2,932,531
3,943,530
4,941,532
5,937,532
6,1010,509
7,933,513
8,974,512
index,sensor1,sensor2
0,425,288
1,614,543
index,sensor1,sensor2
0,214,226
1,340,464
2,376,470
3,375,460
4,310,439
5,294,403
6,285,400
7,274,391
8,285,386
9,247,385
10,225,363
11,288,376
12,293,378
13,294,383
14,221,399
15,320,470
16,237,407
17,329,417
18,323,423
19,252,488
20,262,429
21,261,470
22,248,377
23,201,371
24,286,392
25,210,373
26,241,367
27,271,383
28,201,379
29,241,400
30,250,404
31,322,433
32,318,424
33,274,404
34,393,498
35,376,499
index,sensor1,sensor2
0,273,346
1,316,483
2,266,445
3,365,447
index,sensor1,sensor2
0,178,308
1,346,448
2,369,449
3,308,452
4,346,451
5,370,450
6,364,453
7,329,450
8,278,452
9,355,452
10,284,450
11,350,451
12,305,452
13,290,450
14,236,402
15,252,397
16,273,399
17,328,407
18,317,410
19,327,411
20,259,410
21,318,408
22,332,383
23,330,402
24,318,398
25,321,394
26,291,388
27,275,383
28,328,379
29,311,377
30,275,374
31,278,370
32,250,366
33,256,368
34,289,366
35,292,365
index,sensor1,sensor2
0,139,274
1,264,374
2,312,370
3,312,432
4,282,365
5,254,364
6,302,363
7,281,362
8,295,360
9,243,352
10,270,346
11,264,346
